Name,Rating,Rating_count,Description,highly_rated_for
Abbott,4.1,(3.6k),Pharma | Hyderabad / Secunderabad +211 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Altruist Technologies,4.4,(3.5k),BPO | Hyderabad / Secunderabad +44 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Aarti Industries,4.0,(3.5k),Agro Chemicals | Hyderabad / Secunderabad +58 other locations,"Job Security, Work Life Balance, Company Culture"
Ipca Laboratories,3.9,(3.5k),Pharma | Hyderabad / Secunderabad +160 other locations,"Job Security, Work Life Balance, Company Culture"
Reliance Projects & Property Management Services,4.0,(3.5k),IT Services & Consulting | Hyderabad / Secunderabad +615 other locations,"Work Life Balance, Job Security, Skill Development / Learning"
Indian Oil Corporation,4.3,(3.5k),Oil & Gas | Hyderabad / Secunderabad +308 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
MRF Tyres,3.6,(3.5k),Auto Components | Hyderabad / Secunderabad +192 other locations,
Alkem Laboratories,3.9,(3.5k),Pharma | Hyderabad / Secunderabad +194 other locations,Salary & Benefits
Reliance Digital,4.1,(3.4k),Retail | Hyderabad / Secunderabad +377 other locations,"Skill Development / Learning, Job Security, Company Culture"
Johnson Controls,3.5,(3.4k),Industrial Automation | Hyderabad / Secunderabad +57 other locations,
"NTT DATA, Inc.",3.9,(3.4k),IT Services & Consulting | Hyderabad / Secunderabad +34 other locations,"Work Life Balance, Company Culture, Job Security"
IGT Solutions,3.2,(3.4k),BPO | Hyderabad / Secunderabad +47 other locations,
Honda Motorcycle & Scooter,4.1,(3.4k),Automobile | Hyderabad / Secunderabad +295 other locations,"Job Security, Company Culture, Work Life Balance"
Vishal Mega Mart,3.7,(3.4k),Retail | Hyderabad / Secunderabad +375 other locations,Salary & Benefits
PhonePe,4.0,(3.4k),FinTech | Hyderabad / Secunderabad +388 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
UNO Minda,4.0,(3.4k),Auto Components | Hyderabad / Secunderabad +109 other locations,"Job Security, Company Culture, Skill Development / Learning"
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage | Hyderabad / Secunderabad +254 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture"
Ford Motor,4.2,(3.3k),Automobile | Hyderabad / Secunderabad +130 other locations,"Company Culture, Work Life Balance, Salary & Benefits"
